Rank,Partner Id,Partner Name,TOP SE PL State,node_name,state_name,NRV FY-25-26,GM FY-25-26,GM Score,GM Share,PL NRV 25-26,GM%,ABC Mapping,GM% Score,PL%,Total Returns in %,Return Score,Avg Repayment days,Paid within due days,Financing scheme (Y/N),Credit Score,TOTAL SCORE,Cohort
2555,1000036191,BAGHEL KRISHI KENDRA,sarvoday.gautam@agrevolution.in,Chhindwara,Madhya Pradesh,1458340,175352,0.1,42.10%,1275742,12%,C,0.4,87%,-3%,0.97,57,64%,0,0.51,0.37,Growth
2556,1000041141,PRIYANSU TRADERS TARAPUR,amit.pathak@agrevolution.in,Lakhisarai,Bihar,214927,49395,0.03,81.00%,214927,23%,B,0.77,100%,0%,1,57,33%,0,0.35,0.37,Growth
2557,1000033346,M/s Manju Pincha,dinesh.ram@agrevolution.in,Cooch Behar,West Bengal,480677,21022,0.01,93.00%,81935,4%,D,0.15,17%,-33%,0.67,17,98%,0,0.89,0.37,Growth
2558,1000022759,M/S SHRI RAM NATH TRADERS PRO. BRIJESH KUMAR AGRAWAL,sunil.kumar4@agrevolution.in,Jabalpur,Madhya Pradesh,877817,53240,0.03,79.50%,502708,6%,D,0.2,57%,-15%,0.85,19,75%,0,0.77,0.37,Growth
2559,1000034798,HALDHAR KISAN AGRO CLINIC,pawan.nagar@agrevolution.in,Kota,Rajasthan,399637,97851,0.06,62.80%,399637,24%,B,0.82,100%,-16%,0.84,64,37%,0,0.33,0.37,Growth
2560,1000025880,Kumbhar krushi Kendra,umesh.shinde@agrevolution.in,Solapur,Maharashtra,422975,22011,0.01,92.60%,49450,5%,D,0.17,12%,0%,1,21,76%,0,0.76,0.37,Growth
2561,1000040703,M/s Krishna Beej Bhandar,(blank),Faizabad,Uttar Pradesh,117026,20875,0.01,93.10%,99492,18%,C,0.59,85%,0%,1,52,54%,0,0.48,0.37,Growth
2562,1000017550,Ma Narmda krshi Sewa Kendra,vivek.singh3@agrevolution.in,Bhopal,Madhya Pradesh,151356,31437,0.02,88.40%,132441,21%,B,0.69,88%,0%,1,75,65%,0,0.41,0.37,Growth
2563,1000040472,M/S NIKU TRADERS,rajesh.patel@agrevolution.in,Saharsa,Bihar,1293542,139125,0.08,50.20%,430351,11%,C,0.36,33%,0%,1,35,49%,0,0.55,0.37,Growth
2564,1000001488,M/s Kushwaha Khad Beej Bhandar,aditya.kumar3@agrevolution.in,Saran,Bihar,490697,34117,0.02,87.00%,107060,7%,D,0.23,22%,-10%,0.9,37,90%,0,0.75,0.37,Growth
2565,1000002164,M/S Ram Snehi Agro Sales,govind.singh@agrevolution.in,Jodhpur,Rajasthan,128121,19007,0.01,93.90%,128121,15%,C,0.49,100%,0%,1,34,48%,0,0.55,0.37,Growth
2566,1000038924,Durga Enterprises,(blank),Gwalior,Madhya Pradesh,829133,209336,0.12,34.90%,829133,25%,B,0.84,100%,-63%,0.37,85,71%,0,0.38,0.37,Growth
2567,1000027201,YUSUFI TRADERS,lakhan.dhakad@agrevolution.in,Indore,Madhya Pradesh,1003626,90090,0.05,65.50%,430007,9%,D,0.3,43%,-3%,0.97,39,71%,0,0.64,0.37,Growth
2568,1000005996,Sushil Krishi Kendra,aman.anand@agrevolution.in,Mohania,Bihar,562771,39543,0.02,84.90%,176112,7%,D,0.23,31%,0%,1,32,77%,0,0.71,0.37,Growth
2569,1000038596,PRASANTA SARKAR,arka.das@agrevolution.in,Krishnanagar (HQ),West Bengal,870352,71544,0.04,72.50%,484474,8%,D,0.27,56%,0%,1,38,73%,0,0.66,0.37,Growth
2570,1000015931,M/s Bela Khad Bhandar,ravi.roy@agrevolution.in,Bihar Sharif,Bihar,136059,26357,0.02,90.90%,136059,19%,C,0.65,100%,0%,1,81,56%,Yes,0.44,0.37,Growth
2571,1000034968,BIKASH KRISHI KENDRA,devendra.singh@agrevolution.in,Bhagalpur,Bihar,322744,17778,0.01,94.30%,257689,6%,D,0.18,80%,0%,1,33,88%,0,0.76,0.37,Growth
2572,1000004084,M/s Partibha Krishi Kendra,(blank),Samastipur,Bihar,393298,47037,0.03,81.90%,301492,12%,C,0.4,77%,-7%,0.93,39,56%,Yes,0.62,0.37,Growth
2573,1000041221,M/S AVADH KRISHI SEVA KENDRA,abhishek.vishwakarma1@agrevolution.in,Faizabad,Uttar Pradesh,319200,46606,0.03,82.00%,309267,15%,C,0.49,97%,0%,1,37,48%,0,0.53,0.37,Growth
2574,1000005100,Hariyali Beej Bhandar,ravi.roy@agrevolution.in,Bihar Sharif,Bihar,663052,126815,0.07,53.80%,554938,19%,C,0.64,84%,-3%,0.97,75,60%,0,0.38,0.37,Growth
2575,1000002823,Maa Dharti Dhan Beej Bhandar,abhishek.ranjan1@agrevolution.in,Hazaribagh,Jharkhand,1050088,107884,0.06,59.30%,393939,10%,C,0.34,38%,-14%,0.86,36,66%,0,0.63,0.37,Growth
2576,1000030002,SRI RAM SEEDS & PESTICIDES,(blank),Faizabad,Uttar Pradesh,218510,21788,0.01,92.70%,149890,10%,D,0.33,69%,0%,1,44,80%,0,0.65,0.37,Growth
2577,1000007457,ANAND KHAD BHANDAR,birendra.yadav@agrevolution.in,Ghazipur,Uttar Pradesh,870771,39820,0.02,84.70%,126343,5%,D,0.15,15%,0%,1,22,77%,0,0.76,0.37,Growth
2578,1000007058,KRISHI PRAGATI KENDRA,purshottam.raj@agrevolution.in,Madhepura,Bihar,175272,29573,0.02,89.30%,98592,17%,C,0.56,56%,-28%,0.72,44,67%,0,0.59,0.37,Growth
2579,1000042949,DAHIYA ENTERPRISES,(blank),Hisar,Haryana,117672,18309,0.01,94.10%,117672,16%,C,0.52,100%,0%,1,14,22%,0,0.53,0.37,Growth
2580,1000005187,M/s Chahaniya Krishi Vikash Kendra,saurabh.singh4@agrevolution.in,Varanasi,Uttar Pradesh,2717061,126161,0.07,54.00%,1942428,5%,D,0.15,71%,0%,1,38,81%,0,0.69,0.37,Growth
2581,1000007718,ROHIT KHAD BHANDAR,haribhushan.kumar@agrevolution.in,Head Office,Bihar,350707,16632,0.01,94.80%,39355,5%,D,0.16,11%,0%,1,25,76%,Yes,0.77,0.37,Growth
2582,1000002263,M/s.Sadguru Krushi Kendra,rahul.mali1@agrevolution.in,Solapur,Maharashtra,1729284,209052,0.12,35.00%,1434456,12%,C,0.4,83%,0%,1,81,60%,Yes,0.46,0.37,Growth
2583,1000005652,M/S Sri Ram Traders,shubham@agrevolution.in,Bihar Sharif,Bihar,397438,42232,0.02,83.70%,267968,11%,C,0.35,67%,-13%,0.87,54,78%,Yes,0.67,0.37,Growth
2584,1000006932,M/S Ranjit Sarma,(blank),Malda,West Bengal,375237,52854,0.03,79.70%,375237,14%,C,0.47,100%,-9%,0.91,46,65%,0,0.57,0.37,Growth
2585,1000002643,Ashutosh Krishi Kendra,kundan.kr@agrevolution.in,Vaishali,Bihar,1390070,111758,0.06,58.00%,609456,8%,D,0.27,44%,-2%,0.98,47,66%,Yes,0.63,0.37,Growth
2586,1000038834,CHAUDHARY KISAN SEWA KENDRA,(blank),Hapur,Uttar Pradesh,759808,92272,0.05,64.90%,695249,12%,C,0.4,92%,-2%,0.98,43,59%,0,0.56,0.37,Growth
2587,1000008443,M/S S. S. KHAD BEEJ BHANDAR,vikash.kumar3@agrevolution.in,Saharsa,Bihar,1532039,165744,0.09,44.30%,1532039,11%,C,0.36,100%,-1%,0.99,43,53%,0,0.53,0.37,Growth
2588,1000032319,ROHIT BEEJ BHANDAR,anupam.yadav@agrevolution.in,Bahraich,Uttar Pradesh,563563,58439,0.03,77.70%,410608,10%,C,0.35,73%,0%,1,35,62%,0,0.61,0.37,Growth
2589,1000000461,M/s A N V Agro and Chemicals Pvt Ltd,gaurav.singh@agrevolution.in,Sitapur,Uttar Pradesh,2678063,190432,0.11,38.50%,1182259,7%,D,0.24,44%,-2%,0.98,33,55%,0,0.59,0.37,Growth
2590,1000034050,Shyamal Paul,bishnu.deb@agrevolution.in,Cooch Behar,West Bengal,348273,59940,0.03,77.10%,221533,17%,C,0.57,64%,-1%,0.99,51,49%,0,0.46,0.37,Growth
2591,1000001134,Maa Vidya Agri Junction Kendra,ritendra.singh@agrevolution.in,Jaunpur,Uttar Pradesh,464215,29143,0.02,89.50%,259945,6%,D,0.21,56%,0%,1,9,55%,0,0.73,0.37,Growth
2592,1000033950,Sanjay Krishi Seva Kendra,(blank),Dhar,Madhya Pradesh,182160,37403,0.02,85.70%,182160,21%,B,0.68,100%,0%,1,44,30%,0,0.4,0.37,Growth
2593,1000001512,Ganesh Beej Bhandar,nitish.kumar2@agrevolution.in,Nawada,Bihar,1326864,123549,0.07,54.50%,789128,9%,D,0.31,59%,-8%,0.92,39,66%,0,0.61,0.37,Growth
2594,1000030181,KISAN SEWA KENDRA,pradeep.kumar3@agrevolution.in,Bareilly,Uttar Pradesh,128510,43188,0.02,83.30%,128510,34%,A,1,100%,0%,1,56,0%,0,0.19,0.37,Growth
2595,1000036053,KUMAR TRADERS,nihal.bhardwaj@agrevolution.in,Bihar Sharif,Bihar,816255,73945,0.04,71.60%,294084,9%,D,0.3,36%,-1%,0.99,33,64%,0,0.63,0.37,Growth
2596,1000021937,Baliraja Agro Agency,rushikesh.gaikwad@agrevolution.in,Ahmednagar,Maharashtra,831777,148960,0.09,48.00%,743241,18%,C,0.6,89%,-2%,0.98,84,46%,Yes,0.38,0.37,Growth
2597,1000004501,M/S Basundhara,souvick.mondal@agrevolution.in,Murshidabad,West Bengal,1237050,207516,0.12,35.30%,1002664,17%,C,0.56,81%,0%,1,65,44%,0,0.36,0.37,Growth
2598,1000001724,M/S Yash Krishi Seva Kendra,tejpratap.kushwaha@agrevolution.in,Barabanki,Uttar Pradesh,610590,52530,0.03,79.80%,235605,9%,D,0.29,39%,0%,1,28,63%,0,0.66,0.37,Growth
2599,1000021957,KRUSHIDEV AGRO AGENCY,abdul.munsif@agrevolution.in,Amravati,Maharashtra,881728,52334,0.03,79.90%,237919,6%,D,0.2,27%,-8%,0.92,31,83%,0,0.74,0.37,Growth
2600,1000032241,M/S RUSHMA KHAAD BEEJ BHANDAR,chhtrashal.singh@agrevolution.in,Purnea,Bihar,192234,46245,0.03,82.10%,192234,24%,B,0.8,100%,0%,1,77,49%,0,0.32,0.37,Growth
2601,1000034873,M/S CHANDAN AGRI JUNCTION KENDRA,om.kushwaha@agrevolution.in,Allahabad,Uttar Pradesh,"96,107",26251,0.02,90.90%,87848,27%,B,0.91,91%,-34%,0.66,63,45%,0,0.37,0.37,Growth
2602,1000004530,M/S Krishi Kendra Patratu,mohmmad.arman2@agrevolution.in,Ranchi,Jharkhand,316082,26286,0.02,90.90%,88324,8%,D,0.28,28%,-14%,0.86,29,78%,0,0.73,0.37,Growth
2603,1000030919,RANJITA KRISHI UDHAMI SEWA KENDRA,(blank),Sitamarhi,Bihar,395124,18816,0.01,93.90%,49417,5%,D,0.16,13%,0%,1,32,89%,0,0.77,0.37,Growth
2604,1000036530,Balaji Krishi Sewa kendra,ashish.patidar1@agrevolution.in,Indore,Madhya Pradesh,179501,29066,0.02,89.60%,157098,16%,C,0.54,88%,-3%,0.98,53,62%,0,0.51,0.37,Growth
2605,1000034918,BALAJI KHAD BEEJ BHANDAR,(blank),Jaipur,Rajasthan,157424,33167,0.02,87.60%,145644,21%,B,0.7,93%,0%,1,68,54%,0,0.39,0.37,Growth
2606,1000000132,Maa Santoshi Agrosales,chinmaya.patra@agrevolution.in,Bhawanipatna,Orissa,319184,103240,0.06,61.00%,286714,32%,A,1,90%,-30%,0.7,80,37%,0,0.24,0.37,Growth
2607,1000006972,M/s MAURYA KHAD BEEJ BHANDAR,piyush.kumar1@agrevolution.in,Hardoi,Uttar Pradesh,1872057,203699,0.12,35.90%,810924,11%,C,0.36,43%,-1%,0.99,58,63%,0,0.49,0.37,Growth
2608,1000009829,M/s Shree Ji Agri Services,piyush.tiwari@agrevolution.in,Jabalpur,Madhya Pradesh,1321205,130851,0.07,52.30%,611522,10%,D,0.33,46%,-4%,0.96,43,64%,0,0.58,0.37,Growth
2609,1000017011,M/S JAI KISHAN TRADERS,sushil.ojha@agrevolution.in,Ballia,Uttar Pradesh,2301620,56274,0.03,78.50%,94197,2%,D,0.08,4%,0%,1,19,79%,0,0.79,0.37,Growth
2610,1000003260,M/s Shivani Khad Beej Bhandar,purshottam.raj@agrevolution.in,Madhepura,Bihar,1712892,100436,0.06,61.90%,397600,6%,D,0.2,23%,-29%,0.71,23,81%,0,0.78,0.37,Growth
2611,1000035637,M/s Bala Ji Enterprises,ramesh.kumar@agrevolution.in,Bettiah,Bihar,211041,57477,0.03,78.00%,211041,27%,B,0.91,100%,0%,1,62,16%,0,0.24,0.37,Growth
2612,1000000963,KISAN SEWA KENDRA,(blank),Sasaram,Bihar,1712262,205710,0.12,35.60%,634092,12%,C,0.4,37%,-8%,0.92,48,51%,0,0.49,0.37,Growth
2613,1000000223,Kisan Seva Kendra,kundan.kr@agrevolution.in,Vaishali,Bihar,1076910,76938,0.04,70.30%,306216,7%,D,0.24,28%,-3%,0.97,43,72%,Yes,0.68,0.37,Growth
2614,1000027437,MOHAN AGRO AGENCY,yogesh.pande@agrevolution.in,Akola,Maharashtra,781018,57178,0.03,78.10%,109047,7%,D,0.24,14%,-9%,0.91,49,96%,0,0.71,0.37,Growth
2615,1000003682,M/s Jajan Meher,chinmaya.patra@agrevolution.in,Bhawanipatna,Orissa,"71,076",22069,0.01,92.60%,71076,31%,A,1,100%,0%,1,108,40%,0,0.2,0.37,Growth
2616,1000027124,Gopeshwari Pashu Aahar,vivek.singh3@agrevolution.in,Bhopal,Madhya Pradesh,3278542,299338,0.17,22.50%,3278542,9%,D,0.3,100%,0%,1,40,35%,0,0.45,0.37,Growth
2617,1000038019,ATHARV AGRO,rishikesh.jamodkar@agrevolution.in,Khandwa,Madhya Pradesh,2418166,266459,0.15,25.70%,2252212,11%,C,0.37,93%,-12%,0.88,83,65%,Yes,0.48,0.37,Growth
2618,1000002978,M/S Somnath Agro Agency,(blank),Ujjain,Madhya Pradesh,108115,19238,0.01,93.80%,108115,18%,C,0.59,100%,0%,1,42,42%,0,0.48,0.37,Growth
2619,1000034810,NAV NIRMAN KRISHI SEWA KENDRA,manoj.vishwakarma@agrevolution.in,Bhopal,Madhya Pradesh,497701,83889,0.05,67.70%,435900,17%,C,0.56,88%,0%,1,96,69%,Yes,0.45,0.37,Growth
2620,1000005951,RAJ PESTICIDES,arvind.godara@agrevolution.in,Sri Ganganagar,Rajasthan,197527,22245,0.01,92.50%,122174,11%,C,0.38,62%,-25%,0.75,33,77%,0,0.7,0.37,Growth
2621,1000005805,M/s G.L.Kushwaha Khad Bhandar,om.kushwaha@agrevolution.in,Allahabad,Uttar Pradesh,2146277,210735,0.12,34.60%,1826554,10%,D,0.33,85%,-14%,0.86,44,59%,0,0.55,0.37,Growth
2622,1000033478,M/s BIKASH TRADERS,narendra.kumar4@agrevolution.in,Nawada,Bihar,1110990,100339,0.06,62.00%,457068,9%,D,0.3,41%,-31%,0.69,35,81%,0,0.71,0.37,Growth
2623,1000000607,IFFDC KRISHAK SEVA KENDRA,(blank),Samastipur,Bihar,425344,76180,0.04,70.60%,384816,18%,C,0.6,90%,0%,1,53,45%,0,0.43,0.37,Growth
2624,1000016744,M/S Maa Durga Traders,shubham.solanki@agrevolution.in,Bhopal,Madhya Pradesh,863821,191720,0.11,38.10%,731941,22%,B,0.74,85%,0%,1,105,36%,Yes,0.24,0.37,Growth
2625,1000018999,M/s Uttam Sarkar,bapan.biswas@agrevolution.in,Cooch Behar,West Bengal,1128023,158328,0.09,45.90%,752092,14%,C,0.47,67%,0%,1,63,60%,0,0.45,0.37,Growth
2626,1000035580,SHREE SAI KRUSHI KENDRA,gaurav.mahajan@agrevolution.in,Jalgaon,Maharashtra,399590,56411,0.03,78.40%,262767,14%,C,0.47,66%,-1%,0.99,62,75%,0,0.53,0.37,Growth
2627,1000006934,MAURYA BEEJ BHANDAR,brijeshk.patel@agrevolution.in,Varanasi,Uttar Pradesh,1533889,228189,0.13,31.30%,1273900,15%,C,0.5,83%,-11%,0.89,61,51%,0,0.41,0.37,Growth
2628,1000003404,PATIDAR KRISHI SEWA KENDRA,arvind.bharti@agrevolution.in,Shajapur,Madhya Pradesh,318672,24047,0.01,91.80%,233418,8%,D,0.25,73%,0%,1,65,94%,Yes,0.7,0.37,Growth
2629,1000005602,M/s Singh Enterprises,aditya.kumar3@agrevolution.in,Saran,Bihar,652744,106367,0.06,59.80%,389571,16%,C,0.54,60%,-6%,0.94,58,56%,0,0.46,0.37,Growth
2630,1000038479,SHRIRAM KRISHI KENDRA,ashish.sharma1@agrevolution.in,Chhindwara,Madhya Pradesh,210670,27805,0.02,90.20%,191319,13%,C,0.44,91%,0%,1,37,45%,Yes,0.57,0.37,Growth
2631,1000035152,BALAJI KRISHI SEWA KENDRA,(blank),Kota,Rajasthan,125611,25720,0.01,91.10%,125611,20%,B,0.68,100%,0%,1,52,40%,0,0.41,0.37,Growth
2632,1000008089,M/s Garg Agency,(blank),Bulandshahr,Uttar Pradesh,101919,20113,0.01,93.40%,80465,20%,C,0.66,79%,-34%,0.66,49,63%,0,0.54,0.37,Growth
2633,1000003270,Vidhyarthi Traders,ramesh.kumar@agrevolution.in,Bettiah,Bihar,631415,64405,0.04,75.30%,602189,10%,C,0.34,95%,0%,1,41,67%,0,0.61,0.37,Growth
2634,1000006037,M/s Chudamani Beej Bhandar,(blank),Hazaribagh,Jharkhand,153971,27908,0.02,90.10%,75562,18%,C,0.6,49%,0%,1,92,68%,Yes,0.46,0.36,Growth
2635,1000035798,M/s JAI DURGE KHAAD EVAM BEEJ BHAND,jitendra.sharma@agrevolution.in,Gwalior,Madhya Pradesh,2476532,494170,0.28,10.00%,2462300,20%,C,0.67,99%,-31%,0.69,83,26%,0,0.17,0.36,Growth
2636,1000002060,M/S Prakash Khad Beej Bhandar,shashi@agrevolution.in,Purnea,Bihar,661058,29538,0.02,89.30%,157760,4%,D,0.15,24%,0%,1,29,84%,0,0.76,0.36,Growth
2637,1000038241,SHRI GANESH TRADING AND COMPANY KRISHI SEVA KENDRA,(blank),Bhopal,Madhya Pradesh,125069,16776,0.01,94.70%,125069,13%,C,0.45,100%,0%,1,26,43%,0,0.57,0.36,Growth
2638,1000005056,Rakesh Beej Bhandar,nitish.kumar2@agrevolution.in,Nawada,Bihar,219196,16767,0.01,94.70%,113494,8%,D,0.25,52%,0%,1,42,75%,Yes,0.7,0.36,Growth
2639,1000033897,Maa Kripa Hippo Shop,(blank),Indore,Madhya Pradesh,142368,23408,0.01,92.00%,130448,16%,C,0.55,92%,0%,1,-,0%,0,0.5,0.36,Growth
2640,1000007018,M/S Vaishnavi Khad Bhandar,ramesh.kumar@agrevolution.in,Bettiah,Bihar,570202,42299,0.02,83.70%,141506,7%,D,0.25,25%,0%,1,28,68%,0,0.68,0.36,Growth
2641,1000006681,M/S ARSHI KHAD BHANDAR,kanhaiya.raj1@agrevolution.in,Arariya,Bihar,254095,76375,0.04,70.40%,254095,30%,A,1,100%,-24%,0.76,98,29%,Yes,0.24,0.36,Growth
2642,1000008870,Yadav beej Bhandar,piyush.mani@agrevolution.in,Gorakhpur,Uttar Pradesh,405737,35367,0.02,86.60%,405737,9%,D,0.29,100%,0%,1,43,80%,0,0.66,0.36,Growth
2643,1000003937,M/s Krishna Fertilizer,amit.tripathi@agrevolution.in,Kushinagar,Uttar Pradesh,1533641,177055,0.1,41.60%,830155,12%,C,0.38,54%,0%,1,40,42%,0,0.49,0.36,Growth
2644,1000006798,M/S Durga Khad Beej Bhandar,narendra.kumar4@agrevolution.in,Nawada,Bihar,353649,37004,0.02,85.90%,181497,10%,C,0.35,51%,-11%,0.89,37,73%,0,0.66,0.36,Growth
2645,1000008961,M/s.Suyodhan Krushi Seva Kendra,vishvanath.kale@agrevolution.in,Sangli,Maharashtra,982731,121640,0.07,54.90%,606460,12%,C,0.41,62%,0%,1,61,70%,0,0.51,0.36,Growth
2646,1000009032,M/s Lodhi Krishi Kendra,jitendra.kumar5@agrevolution.in,Raipur,Chhattisgarh,331273,47624,0.03,81.60%,226734,14%,C,0.48,68%,0%,1,55,66%,0,0.52,0.36,Growth
2647,1000042221,ASHU TRADING COMPANY,robin.kumar3@agrevolution.in,Hapur,Uttar Pradesh,341985,31013,0.02,88.70%,16753,9%,D,0.3,5%,0%,1,31,65%,0,0.66,0.36,Growth
2648,1000004078,Shiv Guru Khad Beej Bhandar,devendra.singh@agrevolution.in,Bhagalpur,Bihar,2935669,251522,0.14,27.30%,695459,9%,D,0.29,24%,-2%,0.98,38,43%,0,0.5,0.36,Growth
2649,1000038184,M/S JAY BHOLE NATH BEEJ BHANDAR,piyush.tiwari@agrevolution.in,Jabalpur,Madhya Pradesh,"67,586",17136,0.01,94.60%,67586,25%,B,0.85,100%,-13%,0.87,66,24%,Yes,0.35,0.36,Growth
2650,1000040698,Shree Ram krishi kendra,(blank),Jaipur_Kota,Rajasthan,488473,59537,0.03,77.30%,453649,12%,C,0.41,93%,-25%,0.75,48,83%,0,0.65,0.36,Growth
2651,1000007022,Dehat Khad Beej Bhandar,ranjan.shandilya@agrevolution.in,Bettiah,Bihar,699219,44437,0.03,82.80%,327300,6%,D,0.21,47%,0%,1,33,78%,0,0.7,0.36,Growth
2652,1000034650,M/s Ma Annapurna Agro,vivek.singh3@agrevolution.in,Bhopal,Madhya Pradesh,992354,215270,0.12,33.80%,872106,22%,B,0.72,88%,0%,1,109,47%,0,0.23,0.36,Growth
2653,1000006553,Anjli Pashu Aahar Kendra,satyam.kumar@agrevolution.in,Samastipur,Bihar,408052,54305,0.03,79.20%,408052,13%,C,0.44,100%,0%,1,40,53%,0,0.54,0.36,Growth
2654,1000007172,M/s MAHALAXMI AGRO CHEMICALS AND Fertilisers,pawan.nagar@agrevolution.in,Kota,Rajasthan,222269,31411,0.02,88.40%,220047,14%,C,0.47,99%,0%,1,9,18%,0,0.54,0.36,Growth
2655,1000019754,M/s Kushwaha Krishi Kendra,aditya.kumar3@agrevolution.in,Saran,Bihar,865155,78488,0.04,69.70%,369871,9%,D,0.3,43%,0%,1,49,78%,0,0.62,0.36,Growth
2656,1000005900,M/s Agri Junction Kendra,rohit.singh1@agrevolution.in,Ballia,Uttar Pradesh,216495,41808,0.02,83.90%,179310,19%,C,0.64,83%,0%,1,58,48%,0,0.42,0.36,Growth
2657,1000025239,KGN ENTERPRISES,ashok.kumar5@agrevolution.in,Darbhanga,Bihar,786650,142695,0.08,49.60%,670828,18%,C,0.6,85%,0%,1,67,29%,Yes,0.37,0.36,Growth
2658,1000022027,Shri Ram agro,(blank),Ahmedabad,Gujarat,503271,51953,0.03,80.00%,444924,10%,C,0.34,88%,0%,1,52,80%,0,0.61,0.36,Growth
2659,1000037288,SHRI SADANAND SHARMA AGRICULTURE CENTER,suraj.kumar1@agrevolution.in,Madhepura,Bihar,536409,45402,0.03,82.50%,183086,8%,D,0.28,34%,-10%,0.9,32,74%,0,0.69,0.36,Growth
2660,1000003777,M/s Hariyali Krishi Kendra,ramesh.kumar@agrevolution.in,Bettiah,Bihar,343507,53731,0.03,79.40%,232698,16%,C,0.52,68%,0%,1,52,56%,0,0.49,0.36,Growth
2661,1000001289,Ganga Beej Bhandar,abhishek.ranjan1@agrevolution.in,Hazaribagh,Jharkhand,610387,55500,0.03,78.70%,156447,9%,D,0.3,26%,-8%,0.92,38,74%,0,0.66,0.36,Growth
2662,1000003990,M/S New Bhola khad Beej Bhandar,(blank),Begusarai,Bihar,241859,35843,0.02,86.40%,236159,15%,C,0.49,98%,0%,1,46,55%,0,0.52,0.36,Growth
2663,1000032274,ASKI AGROZ,yogesh.pande@agrevolution.in,Akola,Maharashtra,748478,189054,0.11,39.00%,582591,25%,B,0.84,78%,-13%,0.87,105,43%,0,0.22,0.36,Growth
2664,1000001340,Jahangir Khad Beej Bhandar,chhtrashal.singh@agrevolution.in,Purnea,Bihar,931187,110541,0.06,58.40%,478918,12%,C,0.4,51%,-17%,0.83,37,58%,0,0.59,0.36,Growth
2665,1000033807,SRISHTI KISAN SEVA KENDRA,mewa.garhwal@agrevolution.in,Jaipur,Rajasthan,372542,58181,0.03,77.70%,365116,16%,C,0.52,98%,-4%,0.96,60,67%,0,0.5,0.36,Growth
2666,1000008050,Maa Mundeswari Traders,(blank),Mohania,Bihar,915074,44458,0.03,82.80%,148264,5%,D,0.16,16%,0%,1,45,97%,0,0.74,0.36,Growth
2667,1000002707,Lohani Trading,mohmmad.arman2@agrevolution.in,Ranchi,Jharkhand,2655496,81508,0.05,68.60%,253605,3%,D,0.1,10%,-10%,0.9,25,84%,0,0.78,0.36,Growth
2668,1000039219,M/S PANKAJ KHAD AGENCY,gaurav.singh5@agrevolution.in,Aligarh,Uttar Pradesh,"91,474",19260,0.01,93.70%,81347,21%,B,0.7,89%,0%,1,73,40%,Yes,0.39,0.36,Growth
2669,1000004086,KISHAN KHAD BEEJ BHANDAR,devendra.singh@agrevolution.in,Bhagalpur,Bihar,462754,40040,0.02,84.70%,151103,9%,D,0.29,33%,0%,1,27,61%,0,0.65,0.36,Growth
2670,1000003594,Jai Hanuman Khad Bhandar,(blank),Arrah,Bihar,2079694,74583,0.04,71.30%,399546,4%,D,0.12,19%,-1%,0.99,22,74%,0,0.75,0.36,Growth
2671,1000032380,MANISH AGENCY,shatrughan.singh@agrevolution.in,Jaunpur,Uttar Pradesh,444923,29356,0.02,89.40%,263936,7%,D,0.22,59%,-3%,0.97,25,71%,0,0.72,0.36,Growth
2672,1000007883,M/s Satyam Shivam Krishak Club,(blank),Raipur,Chhattisgarh,101768,20377,0.01,93.30%,97679,20%,B,0.67,96%,0%,1,64,54%,0,0.42,0.36,Growth
2673,1000005384,M/s Kisan Khad Bhandar,(blank),Amroha,Uttar Pradesh,675212,91056,0.05,65.30%,333510,13%,C,0.45,49%,0%,1,40,46%,0,0.51,0.36,Growth
2674,1000043166,M/s Tiwari Beej Bhandar,(blank),Barabanki,Uttar Pradesh,"67,827",17018,0.01,94.70%,67827,25%,B,0.84,100%,0%,1,35,0%,0,0.31,0.36,Growth
2675,1000007715,M/S MADHU SUDAN GHOSH,arka.das@agrevolution.in,Krishnanagar (HQ),West Bengal,748695,88844,0.05,66.00%,380607,12%,C,0.4,51%,0%,1,38,51%,0,0.54,0.36,Growth
2676,1000026366,SHIVSHANKAR TRADERS,ritik.singh1@agrevolution.in,Khagaria,Bihar,123617,28325,0.02,89.90%,123617,23%,B,0.76,100%,0%,1,56,31%,0,0.34,0.36,Growth
2677,1000007445,KISAN KHAD BEEJ BHANDAR,ankit.kumar4@agrevolution.in,Madhepura,Bihar,1110977,68546,0.04,73.70%,338130,6%,D,0.21,30%,-15%,0.85,31,82%,0,0.74,0.36,Growth
2678,1000035362,Maa Shipra Krishi Seva Kendra,(blank),Ujjain,Madhya Pradesh,206448,55359,0.03,78.80%,206448,27%,B,0.89,100%,-25%,0.75,60,31%,0,0.32,0.36,Growth
2679,1000027196,M/S MD PEAR ALI,dashrath.mahato@agrevolution.in,Malda,West Bengal,790309,150191,0.09,47.70%,727389,19%,C,0.63,92%,-2%,0.98,65,41%,0,0.35,0.36,Growth
2680,1000005349,Shri Sai Enterprises,vijay.kumar1@agrevolution.in,Khagaria,Bihar,334759,56786,0.03,78.30%,220719,17%,C,0.57,66%,0%,1,48,44%,0,0.45,0.36,Growth
2681,1000003336,M/s Verma Traders,pankaj.shukla@agrevolution.in,Kheri,Uttar Pradesh,453560,89189,0.05,65.90%,446364,20%,C,0.66,98%,0%,1,62,43%,0,0.37,0.36,Growth
